ingest_id,ingest_suffix,ingest_format,ingest_uri_short
hamsters,pm-catalog,fits,Astrometric_catalogs
hamsters,phot-catalog-ep4,fits,Photometry_catalogs
hamsters,phot-catalog-ep4,fits,Time_series
hamsters,phot-catalog-ep4,txt,Photometry_catalogs
hamsters,phot-catalog-ep4,txt,Time_series
hamsters,phot-catalog-ep1,fits,Photometry_catalogs
hamsters,phot-catalog-ep1,fits,Time_series
hamsters,phot-catalog-ep1,txt,Photometry_catalogs
hamsters,phot-catalog-ep1,txt,Time_series
hamsters,phot-catalog-ep2,txt,Photometry_catalogs
hamsters,phot-catalog-ep2,txt,Time_series
hamsters,phot-catalog-ep3,txt,Photometry_catalogs
hamsters,phot-catalog-ep3,txt,Time_series
hamsters,pm-catalog,txt,Astrometric_catalogs
hamsters,phot-catalog-ep5,fits,Photometry_catalogs
hamsters,phot-catalog-ep5,fits,Time_series
hamsters,phot-catalog-ep3,fits,Photometry_catalogs
hamsters,phot-catalog-ep3,fits,Time_series
hamsters,phot-catalog-ep5,txt,Photometry_catalogs
hamsters,phot-catalog-ep5,txt,Time_series
hamsters,phot-catalog-ep2,fits,Photometry_catalogs
hamsters,phot-catalog-ep2,fits,Time_series
hamsters,pm-catalog,fits,this
hamsters,phot-catalog-ep4,fits,this
hamsters,phot-catalog-ep4,txt,this
hamsters,phot-catalog-ep1,fits,this
hamsters,phot-catalog-ep1,txt,this
hamsters,phot-catalog-ep2,txt,this
hamsters,phot-catalog-ep3,txt,this
hamsters,pm-catalog,txt,this
hamsters,phot-catalog-ep5,fits,this
hamsters,phot-catalog-ep3,fits,this
hamsters,phot-catalog-ep5,txt,this
hamsters,phot-catalog-ep2,fits,this
hamsters,pm-catalog,fits,Observational
hamsters,phot-catalog-ep4,fits,Observational
hamsters,phot-catalog-ep4,txt,Observational
hamsters,phot-catalog-ep1,fits,Observational
hamsters,phot-catalog-ep1,txt,Observational
hamsters,phot-catalog-ep2,txt,Observational
hamsters,phot-catalog-ep3,txt,Observational
hamsters,pm-catalog,txt,Observational
hamsters,phot-catalog-ep5,fits,Observational
hamsters,phot-catalog-ep3,fits,Observational
hamsters,phot-catalog-ep5,txt,Observational
hamsters,phot-catalog-ep2,fits,Observational
