ingest_id,ingest_suffix,ingest_format,ingest_uri_short
jades,catalog,fits,Photometry_catalogs
jades,catalog,fits,Spectral_line_source_catalogs
jades,catalog,fits,Redshift_catalogs
jades,s2d,fits,Long-slit_spectral_images
jades,drz,fits,Image_mosaics
jades,drz,fits,Drizzled_images
jades,drz,fits,Dithered_images
jades,x1d,fits,Spectra
jades,segmentation,fits,Segmentation_maps
jades,preview,png,preview
jades,catalog,fits,this
jades,s2d,fits,this
jades,drz,fits,this
jades,x1d,fits,this
jades,detection,fits,noise
jades,segmentation,fits,auxiliary
jades,preview,png,Observational
jades,catalog,fits,Observational
jades,s2d,fits,Observational
jades,drz,fits,Observational
jades,x1d,fits,Observational
jades,detection,fits,Observational
jades,segmentation,fits,Observational
