ingest_id,ingest_suffix,ingest_format,ingest_uri_short
mudf,2d-spec,fits,Long-slit_spectral_images
mudf,image,fits,Time-tagged_event_lists
mudf,image,fits,Spectral_images
mudf,catalog,txt,Photometry_catalogs
mudf,photometric-catalog,txt,Photometry_catalogs
mudf,psf-mod,fits,Point_spread_functions
mudf,1d-spec,fits,Spectra
mudf,drz-con,fits,Image_mosaics
mudf,drz-con,fits,Dithered_images
mudf,drz-con,fits,Drizzled_images
mudf,morphology-catalog,txt,Morphology_catalogs
mudf,drz-sci,fits,Dithered_images
mudf,drz-sci,fits,Drizzled_images
mudf,drz-sci,fits,Image_mosaics
mudf,seg-map,fits,Segmentation_maps
mudf,source-catalog,txt,Photometry_catalogs
mudf,spectroscopic-catalog,txt,Redshift_catalogs
mudf,spectroscopic-catalog,txt,Spectral_line_source_catalogs
mudf,2d-spec,fits,this
mudf,image,fits,this
mudf,drz-rms,fits,error
mudf,catalog,txt,this
mudf,photometric-catalog,txt,this
mudf,con-ker,fits,auxiliary
mudf,drz-wht,fits,weight
mudf,psf-mod,fits,auxiliary
mudf,statmorph,pdf,preview
mudf,1d-spec,fits,this
mudf,drz-con,fits,this
mudf,drz-neg,fits,auxiliary
mudf,morphology-catalog,txt,this
mudf,drz-sci,fits,this
mudf,seg-map,fits,auxiliary
mudf,summary,pdf,preview
mudf,source-catalog,txt,this
mudf,spectroscopic-catalog,txt,this
mudf,2d-spec,fits,Observational
mudf,image,fits,Observational
mudf,drz-rms,fits,Observational
mudf,catalog,txt,Observational
mudf,photometric-catalog,txt,Observational
mudf,con-ker,fits,Observational
mudf,drz-wht,fits,Observational
mudf,psf-mod,fits,Observational
mudf,statmorph,pdf,Observational
mudf,1d-spec,fits,Observational
mudf,drz-con,fits,Observational
mudf,drz-neg,fits,Observational
mudf,morphology-catalog,txt,Observational
mudf,drz-sci,fits,Observational
mudf,seg-map,fits,Observational
mudf,summary,pdf,Observational
mudf,source-catalog,txt,Observational
mudf,spectroscopic-catalog,txt,Observational
