ingest_id,ingest_suffix,ingest_format,ingest_uri_short
muscles,adapt-var-res-sed,fits,Multi-waveband_composite_spectra
muscles,adapt-var-res-sed,fits,Intrinsic_spectral_energy_distributions
muscles,adapt-var-res-sed,fits,Multi-instrument_composite_spectra
muscles,synth-spec,fits,Multi-waveband_composite_spectra
muscles,synth-spec,fits,Intrinsic_spectral_energy_distributions
muscles,const-res-sed,fits,Multi-waveband_composite_spectra
muscles,const-res-sed,fits,Intrinsic_spectral_energy_distributions
muscles,const-res-sed,fits,Multi-instrument_composite_spectra
muscles,adapt-const-res-sed,fits,Multi-waveband_composite_spectra
muscles,adapt-const-res-sed,fits,Intrinsic_spectral_energy_distributions
muscles,adapt-const-res-sed,fits,Multi-instrument_composite_spectra
muscles,component-spec,fits,Spectra
muscles,var-res-sed,fits,Multi-waveband_composite_spectra
muscles,var-res-sed,fits,Intrinsic_spectral_energy_distributions
muscles,var-res-sed,fits,Multi-instrument_composite_spectra
muscles,adapt-var-res-sed,fits,this
muscles,synth-spec,fits,this
muscles,const-res-sed,fits,this
muscles,adapt-const-res-sed,fits,this
muscles,component-spec,fits,this
muscles,reduction-notes,pdf,documentation
muscles,var-res-sed,fits,this
muscles,comp,png,preview
muscles,adapt-var-res-sed,fits,Derived
muscles,synth-spec,fits,Derived
muscles,const-res-sed,fits,Derived
muscles,adapt-const-res-sed,fits,Derived
muscles,component-spec,fits,Observational
muscles,component-spec,fits,Derived
muscles,reduction-notes,pdf,Observational
muscles,var-res-sed,fits,Derived
muscles,comp,png,Derived
