ingest_id,ingest_suffix,ingest_format,ingest_uri_short
ullyses,drc,fits,Drizzled_images
ullyses,tss,fits,Time_series_spectra
ullyses,preview-spec,fits,Multi-instrument_composite_spectra
ullyses,preview-spec,fits,Multi-grating_composite_spectra
ullyses,preview-spec,fits,Multi-waveband_composite_spectra
ullyses,spec,fits,Spectra
ullyses,cspec,fits,Spectra
ullyses,aspec,fits,Multi-grating_composite_spectra
ullyses,split-tss,fits,Time_series_spectra
ullyses,drc,fits,this
ullyses,tss,fits,this
ullyses,preview-spec,fits,this
ullyses,spec,fits,this
ullyses,cspec,fits,this
ullyses,spec,yaml,auxiliary
ullyses,rel-notes,html,documentation
ullyses,aspec,fits,this
ullyses,split-tss,fits,this
ullyses,drc,fits,Observational
ullyses,tss,fits,Observational
ullyses,preview-spec,fits,Observational
ullyses,spec,fits,Observational
ullyses,cspec,fits,Observational
ullyses,spec,yaml,Observational
ullyses,rel-notes,html,Observational
ullyses,aspec,fits,Observational
ullyses,split-tss,fits,Observational
