SIMBAD Id,SIMBAD Label,SIMBAD Description,SKOS relationship,UAT match,ABL comments,SIMBAD_category,SIMBAD_subcategory,SIMBAD's comment,SIMBAD's status
?,Unknown,Object of Unknown Nature,,,Could be valuable to add to the UAT.,"8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS",,,
..1,,{pr*} Pre-Main Sequence Star ,exactMatch,"Pre-main sequence stars, Young stellar objects",SIMBAD has defined Pre-Main Squence Star as equal to YSO.,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),,old
..10,,Barium Star,exactMatch,Barium stars,"References to the ""SpT"" in the SIMBAD comment generally mean that SIMBAD has deprecated a concept in favor of handling it in measurement criteria filtering (see https://simbad.u-strasbg.fr/simbad/sim-fsam).",1. TAXONOMY OF STARS,Chemically Peculiar Stars,Check the SpT,old
..11,,Dwarf Carbon Star,broadMatch,Carbon stars,"(Typically ""carbon stars"" are defined as giants, so would be an inappropriate metatag. Wikipedia suggests classical vs. non-classical? But check ADS.)",1. TAXONOMY OF STARS,Chemically Peculiar Stars,Maintype = Pe* and SpT like dC,old
..12,,Carbon-Enhanced Metal Poor Star,exactMatch,CEMP stars,,1. TAXONOMY OF STARS,Chemically Peculiar Stars,Maintype = Pe* and SpT like CEMP,old
..13,,{Al*} Eclipsing Binary of Algol type,exactMatch,Algol variable stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..14,,{bL*}Eclipsing Binary of beta Lyr type,exactMatch,Beta lyrae stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..15,,{WU*} Eclipsing Binary of W UMa type,exactMatch,W Ursae Majoris variable stars,UAT would benefit from an altLabel in commonly-abbreviated cases like this.,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..16,,{NL*} Nova-like Binary,exactMatch,Nova-like variable stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..17,,{DN*} Dwarf Nova,exactMatch,Dwarf novae,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..18,,{DQ*} CV of DQ Her type  Intermediate polar.,exactMatch,DQ Herculis stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..19,,{AM*} CV of AM CVn type,exactMatch,AM Canum Venaticorum stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,Check biblio or V* measurements,old
..2,,LBV=Luminous Blue Variable,exactMatch,Luminous blue variable stars,Possibly should be subtagged to Early-type supergiant stars in the UAT.,1. TAXONOMY OF STARS,Massive Stars and their Remnants,Maintype = s*b and SpT like LBV,old
..20,,Irregular Variable with rapid variations,broadMatch,Irregular variable stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,Check biblio or V* measurements,old
..21,,{Fl*} Flare Star,exactMatch,Flare stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,See Er*,old
..22,,Star showing Eclipses by its Planet,broadMatch,Planet hosting stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,See EB* and V* measurements,old
..23,,{*iC} Star towards a Cluster,relatedMatch,Star clusters,,1. TAXONOMY OF STARS,Kinematic and Environment Properties,Check hierarchical links,old
..24,,{*iA} Star towards an Association,relatedMatch,Stellar associations,,1. TAXONOMY OF STARS,Kinematic and Environment Properties,Check hierarchical links,old
..25,,{*iN} Star towards a Nebula,relatedMatch,Nebulae,,1. TAXONOMY OF STARS,Kinematic and Environment Properties,Check hierarchical links,old
..26,,{*i*} Star in double system,,,,1. TAXONOMY OF STARS,Kinematic and Environment Properties,Check hierarchical links,old
..27,,{BNe} Bright Nebula,exactMatch,Bright nebulae,,3. INTERSTELLAR MEDIUM,Nebula,,old
..28,,{HzG} Galaxy with high redshift,exactMatch,High-redshift galaxies,,4. TAXONOMY OF GALAXIES,,Redundant with the redshift value,old
..29,,"{ERO} ERO/VRO, Extremely/Very Red Object",closeMatch,Infrared galaxies,,4. TAXONOMY OF GALAXIES,,Check biblio or SED,old
..3,,{FU*} FU Ori Variable,exactMatch,FU Orionis stars,,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),See Or*,old
..30,,"ULIRG, Ultra Luninous Infrared Galaxy",exactMatch,Ultraluminous infrared galaxies,,4. TAXONOMY OF GALAXIES,,Check biblio or SED,old
..31,,"{LyA, DLA, mAL, LLS, BAL} Absorption Line System","relatedMatch, exactMatch, ?????, exactMatch, closeMatch","Lyman alpha forest, Damped Lyman-alpha systems, ?????, Lyman limit systems, Broad-absorption line quasar","Multiple concepts, comma-separated. Not sure what mAL means.",4. TAXONOMY OF GALAXIES,,Check biblio or SED,old
..32,,{red} Very Red Source,broadMatch,Infrared sources,,7. GENERAL SPECTRAL PROPERTIES,,,old
..4,,Red Clump Star,relatedMatch,Red giant clump,"UAT could benefit from a ""Red giant clump stars"" concept (subtagged to horizontal branch stars?).",1. TAXONOMY OF STARS,Evolved Stars,See HB*,old
..5,,{sr*} Semi-Regular Variable,exactMatch,Semi-regular variable stars,,1. TAXONOMY OF STARS,Evolved Stars,Check LP* and V* measurements,old
..6,,O-rich AGB Star,broadMatch,Asymptotic giant branch stars AND,"Most AGBs are O-rich, so this is often treated as the ""default"". UAT could benefit from a broad ""Oxygen-rich stars"" concept (in contrast to carbons stars and S stars), though ""Oxygen-rich (subtype) stars"" might be going overboard.",1. TAXONOMY OF STARS,Evolved Stars,Maintype = AB* and SpT like M or O-rich,old
